seed	genes
MAPK8	PSMA5
MAPK8	HSPA1L
INSR	INSR
INSR	CLIC1
INSR	MYC
INSR	ERBB2
INSR	HSPA1A
INSR	GRB7
INSR	CHN1
INSR	LY6G6F
IL1A	IL1A
IL1A	NDN
IL1A	CLIC1
IL1A	MYC
IL1A	HSPA1A
IL1A	NEFL
IL1A	VPS26A
IL1A	MAGEL2
IL1A	FAM102B
JAK2	JAK2
JAK2	ERBB2
JAK2	GRB7
JAK2	CHN1
JAK2	LY6G6F
BYSL	BYSL
BYSL	CLIC1
BYSL	MYC
BYSL	HSPA1A
BYSL	VARS
BYSL	PSMA5
BYSL	HSPA1L
KRT18	KRT18
KRT18	CLIC1
KRT18	MYC
KRT18	HSPA1A
KRT18	VARS
KRT18	PSMA5
KRT18	HSPA1L
LMNA	LMNA
LMNA	CLIC1
LMNA	MYC
LMNA	HSPA1A
LMNA	NEU1
LMNA	HSPA1L
LMNA	TMEM41A
LMNA	LMNB2
AFDN	AFDN
AFDN	CLIC1
AFDN	MYC
AFDN	HSPA1A
AFDN	VARS
AFDN	HSPA1L
BNIPL	BNIPL
BNIPL	NME2
BNIPL	HSPA1A
BNIPL	RMND5A
BNIPL	HSPA1L
BNIPL	EPPK1
BNIP2	BNIPL
BNIP2	BNIP2
BNIP2	CLIC1
BNIP2	MYC
BNIP2	HSPA1A
BNIP2	VARS
BNIP2	HSPA1L
SMN1	SMN1
SMN1	LSM2
SMN1	CLIC1
SMN1	CDK5RAP3
SMN1	CRMP1
SMN1	PSMA5
SMN1	IQCB1
SMN1	DDAH2
TP53BP2	TP53BP2
TP53BP2	CSNK2B
TP53BP2	NFKBIA
TP53BP2	OFD1
TP53BP2	RAB6A
TP53BP2	PDS5A
RTN4	RTN4
RTN4	LSM2
RTN4	CDK5RAP3
RTN4	HSPA1A
RTN4	CRMP1
RTN4	RMND5A
RTN4	HSPA1L
RTN4	EPPK1
BCL2	BNIPL
BCL2	BCL2
BCL2	HSPA1A
BCL2	HSPA1L
BCL2	DNAJB7
NFKB1	NFKB1
NFKB1	CSNK2B
NFKB1	NFKBIA
NFKB1	HSPA1A
NFKB1	PDS5A
NFKB1	HSPA1L
SKAP1	SKAP1
SKAP1	TTF2
SKAP1	CLIC1
SKAP1	MYC
SKAP1	HSPA1A
SKAP1	HSPA1L
SKAP1	ALMS1
ALOX5	ALOX5
ALOX5	RELA
ALOX5	CSNK2B
ALOX5	NFKBIA
ALOX5	HSPA1A
ALOX5	HSPA1L
ALOX5	PNMT
VAV1	VAV1
VAV1	CLIC1
VAV1	MYC
VAV1	ERBB2
VAV1	HSPA1A
VAV1	GRB7
VAV1	CHN1
VAV1	LY6G6F
NCF4	TXN
NCF4	NCF4
NCF4	CLIC1
NCF4	MYC
NCF4	HSPA1A
NCF4	VARS
NCF4	PSMA5
NCF4	HSPA1L
XRCC5	ORC1
XRCC5	XRCC5
XRCC5	CLIC1
XRCC5	MYC
XRCC5	HSPA1A
XRCC5	MSH5
XRCC5	HSPA1L
MRE11	MRE11
MRE11	CLIC1
MRE11	MYC
MRE11	HSPA1A
MRE11	FEN1
MRE11	OFD1
MRE11	RAB6A
MRE11	HSPA1L
CBX5	CBX5
CBX5	CLIC1
CBX5	MYC
CBX5	HSPA1A
CBX5	RBX1
CBX5	VARS
CBX5	HSPA1L
CBX5	DNAJB7
PIAS4	PIAS4
PIAS4	OFD1
PIAS4	NEFL
PIAS4	RAB6A
PIAS4	AIP
PIAS4	IRF7
PIAS4	IL15RA
MITF	SUMO1
MITF	MITF
MITF	CLIC1
MITF	MYC
MITF	HSPA1A
MITF	IKZF3
MITF	ARPC2
MITF	PLEC
MITF	PPP1R12A
MITF	MYO18A
DHDDS	DHDDS
DHDDS	RELA
DHDDS	HSPA1A
DHDDS	NUFIP2
DHDDS	HSPA1L
DHDDS	TMEM268
DHDDS	CHRNA9
DHDDS	NUS1
DHDDS	ANKRD10
YBX1	YBX1
YBX1	SORT1
YBX1	HSPA1A
YBX1	HSPA1L
YBX1	DNAJB7
ATRNL1	ATRNL1
ATRNL1	CSNK2B
ATRNL1	ERBB2
ATRNL1	GRB7
ATRNL1	CHN1
ATRNL1	NPM1
ATRNL1	PDS5A
ATRNL1	MRPS30
